City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Opuwo,NA,-18.0607,13.84,66.15,23,13,5.64,few clouds
80,Longyearbyen,SJ,78.2186,15.6401,46.24,93,75,12.66,broken clouds
81,Esperance,AU,-33.8667,121.9,48.63,85,0,13.38,clear sky
82,Katobu,ID,-4.9408,122.5276,72.28,95,70,2.17,broken clouds
83,Saint-Philippe,RE,-21.3585,55.7679,67.59,81,18,5.17,few clouds
84,Fujin,CN,47.26,132.0322,68.27,95,83,10.85,broken clouds
85,Upernavik,GL,72.7868,-56.1549,42.46,83,84,8.3,broken clouds
86,Hithadhoo,MV,-0.6,73.0833,81.61,70,99,3.76,overcast clouds
87,Bubaque,GW,11.2833,-15.8333,79.61,83,100,14.65,light rain
88,Ust-Karsk,RU,52.7011,118.8077,50.32,81,37,3.33,scattered clouds
89,Vaini,TO,-21.2,-175.2,78.96,89,40,8.05,scattered clouds
90,Saint George,US,37.1041,-113.5841,102.25,17,0,5.01,clear sky
91,Mayumba,GA,-3.432,10.6554,67.37,90,55,2.59,broken clouds
92,Olafsvik,IS,64.8945,-23.7142,51.24,82,86,16.28,light rain
93,Ratnagiri,IN,16.9833,73.3,78.21,91,100,14.65,overcast clouds
94,Arequipa,PE,-16.3989,-71.535,66.27,17,0,10.36,clear sky
95,Marienburg,PL,54.0359,19.0266,60.89,80,32,4.5,scattered clouds
96,Iqaluit,CA,63.7506,-68.5145,46.13,81,40,4.61,scattered clouds
97,Peace River,CA,56.2501,-117.286,79.11,38,75,20.71,broken clouds
98,Long Beach,US,33.767,-118.1892,105.76,55,0,17.27,clear sky
99,Chuy,UY,-33.6971,-53.4616,47.68,86,11,7.49,few clouds
100,Bac Lieu,VN,9.285,105.7244,78.15,86,100,7.52,overcast clouds
101,Tezu,IN,27.9167,96.1667,77.63,90,58,4.29,broken clouds
102,Calabozo,VE,8.9242,-67.4293,84.18,72,59,2.64,broken clouds
103,Clyde River,CA,70.4692,-68.5914,43.03,87,100,3.44,overcast clouds
104,Victoria,HK,22.2855,114.1577,83.32,90,86,5.99,overcast clouds
105,Soure,BR,-0.7167,-48.5233,78.58,83,42,9.37,scattered clouds
106,Georgetown,MY,5.4112,100.3354,81.9,95,20,3.44,few clouds
107,Namatanai,PG,-3.6667,152.4333,80.69,77,89,6.87,overcast clouds
108,Boueni,YT,-12.9025,45.0761,69.78,69,14,5.12,few clouds
109,Yanam,IN,16.7333,82.2167,76.26,94,100,10.31,overcast clouds
110,Berlevag,NO,70.8578,29.0864,50.0,87,75,16.11,broken clouds
111,Tabuleiro Do Norte,BR,-5.2467,-38.1306,79.09,69,33,10.36,scattered clouds
112,Vao,NC,-22.6667,167.4833,72.09,83,1,11.01,clear sky
113,Bereznik,RU,62.8551,42.7072,54.03,90,99,4.61,overcast clouds
114,Jamestown,US,42.097,-79.2353,85.64,58,0,10.36,clear sky
115,Nikolskoye,RU,59.7035,30.7861,58.89,79,11,4.09,few clouds
116,Takoradi,GH,4.8845,-1.7554,73.6,80,19,9.51,few clouds
117,Auki,SB,-8.7676,160.7034,80.44,81,84,2.24,broken clouds
118,Taoudenni,ML,22.6783,-3.9836,102.99,9,1,9.82,clear sky
119,Mahebourg,MU,-20.4081,57.7,66.25,94,75,5.75,broken clouds
120,Port Augusta,AU,-32.5,137.7667,42.62,76,0,2.66,clear sky
121,Souillac,MU,-20.5167,57.5167,64.78,94,75,5.75,broken clouds
122,Rio Gallegos,AR,-51.6226,-69.2181,37.45,81,20,10.36,few clouds
123,Hofn,IS,64.2539,-15.2082,52.18,93,100,18.45,overcast clouds
124,Husavik,IS,66.0449,-17.3389,53.67,92,100,1.23,overcast clouds
125,Nishihara,JP,26.1842,127.7558,81.68,81,20,4.61,few clouds
126,Asau,RO,46.4333,26.4,63.52,91,0,4.21,clear sky
