City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
80,Longyearbyen,SJ,46.24,broken clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
81,Esperance,AU,48.63,clear sky,-33.8667,121.9,Hospitality Esperance
82,Katobu,ID,72.28,broken clouds,-4.9408,122.5276,La Ode Husein
83,Saint-Philippe,RE,67.59,few clouds,-21.3585,55.7679,Le four à pain
84,Fujin,CN,68.27,broken clouds,47.26,132.0322,Xilong Hotel Fujin Shop
85,Upernavik,GL,42.46,broken clouds,72.7868,-56.1549,Café de Upernavik
86,Hithadhoo,MV,81.61,overcast clouds,-0.6,73.0833,Scoop Guest House
87,Bubaque,GW,79.61,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
89,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
91,Mayumba,GA,67.37,broken clouds,-3.432,10.6554,LIKWALE LODGE
92,Olafsvik,IS,51.24,light rain,64.8945,-23.7142,Hotel Olafsvik
93,Ratnagiri,IN,78.21,overcast clouds,16.9833,73.3,Hotel Landmark
94,Arequipa,PE,66.27,clear sky,-16.3989,-71.535,Casa de Avila Hotel
95,Marienburg,PL,60.89,scattered clouds,54.0359,19.0266,Hotel Centrum Malbork
96,Iqaluit,CA,46.13,scattered clouds,63.7506,-68.5145,Frobisher Inn
97,Peace River,CA,79.11,broken clouds,56.2501,-117.286,BCMInns - Peace River
99,Chuy,UY,47.68,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
100,Bac Lieu,VN,78.15,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
101,Tezu,IN,77.63,broken clouds,27.9167,96.1667,Circuit House
102,Calabozo,VE,84.18,broken clouds,8.9242,-67.4293,Hotel Giardini
103,Clyde River,CA,43.03,overcast clouds,70.4692,-68.5914,Qamaq Hotel
104,Victoria,HK,83.32,overcast clouds,22.2855,114.1577,Mini Central
105,Soure,BR,78.58,scattered clouds,-0.7167,-48.5233,Casarão da Amazônia
106,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
107,Namatanai,PG,80.69,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
108,Boueni,YT,69.78,few clouds,-12.9025,45.0761,The feet in water
109,Yanam,IN,76.26,overcast clouds,16.7333,82.2167,The Regency Hotel
110,Berlevag,NO,50.0,broken clouds,70.8578,29.0864,Kvitbrakka
111,Tabuleiro Do Norte,BR,79.09,scattered clouds,-5.2467,-38.1306,Hotel Central I
112,Vao,NC,72.09,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
113,Bereznik,RU,54.03,overcast clouds,62.8551,42.7072,coastal Hotel
114,Jamestown,US,85.64,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
115,Nikolskoye,RU,58.89,few clouds,59.7035,30.7861,Tourist House - Sablino
116,Takoradi,GH,73.6,few clouds,4.8845,-1.7554,Raybow International Hotel
117,Auki,SB,80.44,broken clouds,-8.7676,160.7034,Auki Motel
119,Mahebourg,MU,66.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
120,Port Augusta,AU,42.62,clear sky,-32.5,137.7667,Majestic Oasis Apartments
121,Souillac,MU,64.78,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
122,Rio Gallegos,AR,37.45,few clouds,-51.6226,-69.2181,Hotel Santa Cruz
123,Hofn,IS,52.18,overcast clouds,64.2539,-15.2082,Hótel Höfn
124,Husavik,IS,53.67,overcast clouds,66.0449,-17.3389,Bjarnabúð
125,Nishihara,JP,81.68,few clouds,26.1842,127.7558,Minshuku Agaihama
126,Asau,RO,63.52,clear sky,46.4333,26.4,Casa Mika Ciobanus
128,Sault Sainte Marie,CA,66.49,overcast clouds,46.5168,-84.3333,Comfort Inn
129,Birjand,IR,75.67,clear sky,32.8663,59.2211,Birjand Tourist Hotel
130,Huixtla,MX,84.9,overcast clouds,15.15,-92.4667,Rocky Point Sonoran Sky
131,Kodiak,US,62.11,clear sky,57.79,-152.4072,Best Western Kodiak Inn
132,Guiratinga,BR,86.95,overcast clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
134,Sao Joao Da Barra,BR,75.29,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
135,Severo-Kurilsk,RU,57.69,few clouds,50.6789,156.125,Kak Doma
136,Port Keats,AU,72.91,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
138,Castro,BR,57.47,moderate rain,-24.7911,-50.0119,CHACARA BAILLY
139,Saint-Pierre,RE,67.68,broken clouds,-21.3393,55.4781,Alize Plage
